"group","trait","analysis","configuration_label","folds_used","r2"
"All8","Tree_height","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.347998090142947
"All8","Tree_height","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.311091461758069
"All8","Tree_height","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.294829510160598
"All8","Tree_height","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.273936454472714
"All8","Tree_height","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.358352115441868
"All8","Tree_height","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.325598629696764
"All8","Root_depth","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.274283630452731
"All8","Root_depth","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.244882619454409
"All8","Root_depth","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.34583545079586
"All8","Root_depth","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.230491413372942
"All8","Root_depth","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.28760843297952
"All8","Root_depth","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.290224376093412
"All8","Root_depth","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.359103797673726
"All8","Root_depth","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.144374771249734
"All8","Bark_thickness","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.405176108059912
"All8","Bark_thickness","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.245737572154305
"All8","Bark_thickness","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.445829140870693
"All8","Bark_thickness","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.406909196879625
"All8","Bark_thickness","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.426868656341013
"All8","Bark_thickness","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.348637468624811
"All8","Bark_thickness","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.45256542441622
"All8","Bark_thickness","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.311629428632656
"Cluster 1","Leaf_N_per_mass","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.613155121253339
"Cluster 1","Leaf_N_per_mass","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.611151382094203
